key,template_text
medical_family,"Уважаемый(ая) клиент,

Благодарим за обращение в нашу социальную службу. Ваш вопрос по медицинской теме принят в работу.

Для записи к врачу общей практики (Hausarzt) позвоните в регистратуру или воспользуйтесь порталом Doctolib.de.
Дежурная медицинская помощь (вечер, выходные): ☎ 116 117 — круглосуточно, бесплатно по любой страховке.
Скорая помощь (экстренные случаи): ☎ 112.

Ваш социальный работник свяжется с Вами в течение 2 рабочих дней.

С уважением,
Социальная служба Нойштадт-ам-Райн
Отдел поддержки семей"
medical_pediatric,"Уважаемый(ая) клиент,

Благодарим за обращение. Здоровье Вашего ребёнка — наш приоритет.

Для немедленной помощи:
• Дежурный педиатр: ☎ 116 117 (круглосуточно, бесплатно по страховке)
• Детская клиника им. Святой Марии / St.-Marien-Kinderklinik (Кайзерштрассе 45 / Kaiserstraße 45): ☎ +49-2131-47661-0 — приём без записи Пн–Пт 7:00–20:00, Сб–Вс 8:00–18:00
• Экстренная помощь (температура выше 39,5°C или затруднённое дыхание): ☎ 112

Ваш социальный работник поможет Вам записаться к постоянному педиатру и ответит на все вопросы по страховому покрытию.

С уважением,
Социальная служба Нойштадт-ам-Райн
Отдел поддержки семей"
work_,"Уважаемый(ая) клиент,

Благодарим за обращение. По вопросам трудоустройства мы готовы помочь Вам.

Первый шаг — обратиться в Agentur für Arbeit (Банхофштрассе 8 / Bahnhofstraße 8) или Jobcenter (Мюнстерштрассе 22 / Münsterstraße 22) для регистрации.
При наличии иностранного диплома мы поможем с его признанием (Anerkennung).
Актуальные вакансии: arbeitsagentur.de, stepstone.de, monster.de.

Ваш социальный работник свяжется с Вами для подробной консультации.

С уважением,
Социальная служба Нойштадт-ам-Райн
Отдел занятости"
education_kita,"Уважаемый(ая) клиент,

Благодарим за обращение. Мы рады помочь Вам с поиском места в детском саду (Kita).

Место в Kita — это право каждого ребёнка старше 1 года (Rechtsanspruch auf einen Kita-Platz §24 SGB VIII).
Для подачи заявки воспользуйтесь городским порталом: kita.neustadt-am-rhein.de
В нашем городе работают: Kita St. Anna (Гартенштрассе 7) и Kita Sonnenschein (Линденаллее 3).

Ваш социальный работник поможет с заявлением и документами.

С уважением,
Социальная служба Нойштадт-ам-Райн
Отдел образования"
education_grundschule,"Уважаемый(ая) клиент,

Благодарим за обращение. Для записи ребёнка в начальную школу (Grundschule) необходимо обратиться в школу по месту жительства.

Перечень школ и границы районов: bildung.neustadt-am-rhein.de
Для детей с языковым барьером действуют классы «Willkommensklasse» (интеграционный класс) — обучение немецкому языку ведётся интенсивно.
Grundschule Am Stadtpark (Ам Штадтпарк 1) принимает документы в течение всего года.

Ваш социальный работник поможет с записью и переводом документов.

С уважением,
Социальная служба Нойштадт-ам-Райн
Отдел образования"
education_school,"Уважаемый(ая) клиент,

Благодарим за обращение. По вопросу обучения в школе мы готовы помочь.

Для зачисления потребуются: свидетельство о рождении, предыдущие школьные табели (переведённые), прививочный паспорт и Meldebescheinigung (справка о регистрации).
Доступны школьные интеграционные классы и сопровождение (Schulbegleiter).
Max-Planck-Gymnasium (Бисмаркштрассе 88) принимает учеников 5–12 классов.

Ваш социальный работник свяжется с Вами в течение 2 рабочих дней.

С уважением,
Социальная служба Нойштадт-ам-Райн
Отдел образования"
education_ausbildung,"Уважаемый(ая) клиент,

Благодарим за обращение. По вопросам профессионального обучения (Ausbildung) мы готовы помочь.

Информацию о доступных специальностях: planet-beruf.de и ausbildung.de.
Berufskolleg Neustadt (Индустриештрассе 44 / Industriestraße 44): подготовительные курсы (Berufsvorbereitung) и полноценное дуальное обучение.
Если у Вас есть иностранный диплом — обратитесь за помощью в его признании (Anerkennungsberatung).

Ваш социальный работник поможет с подачей заявок и документами.

С уважением,
Социальная служба Нойштадт-ам-Райн
Отдел занятости и образования"
documents_,"Уважаемый(ая) клиент,

Благодарим за обращение. По вопросу оформления документов — обратитесь в Ausländerbehörde (Кайзерштрассе 12 / Kaiserstraße 12).

Важно: подайте заявление до истечения срока действия Вашего разрешения. При поданном заявлении статус автоматически продлевается (§ 81 Abs. 4 AufenthG) — Вы можете оставаться в стране до принятия решения.

Для подготовки документов и сопровождения в Ausländerbehörde мы назначим Вам встречу с социальным работником.

С уважением,
Социальная служба Нойштадт-ам-Райн
Отдел документов и правового статуса"
leisure_,"Уважаемый(ая) клиент,

Благодарим за обращение. Мы рады помочь Вам найти подходящие досуговые мероприятия.

В нашем городе активно работают: Интеркультурный центр (Фридрихштрассе 33), Русско-немецкое культурное общество (Вальдштрассе 18), Спортивный клуб Neustadt 1903 (Ам Штадтпарк 8).
Записаться и получить актуальное расписание можно напрямую или через нашу службу.

Ваш социальный работник предоставит полный список мероприятий.

С уважением,
Социальная служба Нойштадт-ам-Райн
Отдел интеграции"
housing_search,"Уважаемый(ая) клиент,

Благодарим за обращение. Поиск жилья — одна из наших приоритетных задач.

Первый шаг: зарегистрируйтесь в очереди на социальное жильё (Wohnungsamt, Ратхаусплац 5 / Rathausplatz 5).
Актуальные объявления: immobilienscout24.de, wg-gesucht.de, wohnen-in-neustadt.de.
GWG Neustadt (Гартенштрассе 15) предоставляет социальное жильё — приоритет семьям с детьми.

Ваш социальный работник поможет с документами и сопровождением.

С уважением,
Социальная служба Нойштадт-ам-Райн
Отдел жилья"
housing_problem,"Уважаемый(ая) клиент,

Благодарим за обращение. Проблемы с жильём требуют быстрого решения.

По немецкому законодательству (§ 536 BGB) неисправности являются основанием для снижения арендной платы — сохраняйте все письменные обращения к управляющему.
Для юридической помощи: Mieterverein Neustadt e.V. (Мюнстерштрассе 8 / Münsterstraße 8): ☎ +49-2131-553210 — бесплатная консультация.
При игнорировании управляющим — можно самостоятельно вызвать аварийный ремонт с удержанием расходов из аренды (§ 536a BGB). Сохраняйте ВСЕ квитанции.

Ваш социальный работник поможет составить официальную претензию.

С уважением,
Социальная служба Нойштадт-ам-Райн
Отдел жилья"
housing_contract,"Уважаемый(ая) клиент,

Благодарим за обращение. Вопросы договора аренды требуют внимательного рассмотрения — мы назначим Вам встречу.

Пожалуйста, подготовьте: договор аренды (все листы), переписку с арендодателем, последние квитанции об оплате и уведомление о повышении платы (если есть).
Повышение арендной платы ограничено законом (Mietpreisbremse) и не может превышать 15% за 3 года в нашем регионе.

С уважением,
Социальная служба Нойштадт-ам-Райн
Отдел жилья"
