address,district,landlord,manager_name,manager_phone,manager_hours
Bismarckstraße 12 / Бисмаркштрассе 12,West,Krauz & Partner Hausverwaltung,Хайнрих Краузе (Heinrich Krause),+49-2131-887732,Пн–Пт 9:00–17:00
Lindenallee 45 / Линденаллее 45,Ost,Hoffmann Immobilien GmbH,Клаус Хоффманн (Klaus Hoffmann),+49-2131-994421,Пн–Пт 8:00–16:00
Goethestraße 22 / Гётештрассе 22,Mitte,Müller Hausverwaltung,Фриц Мюллер (Fritz Müller),+49-2131-334455,Пн Ср Пт 10:00–13:00
Hauptstraße 78 / Хауптштрассе 78,Nord,Weber Hausverwaltung GmbH,Урсула Вебер (Ursula Weber),+49-2131-667788,Пн–Чт 8:00–16:00
Waldstraße 33 / Вальдштрассе 33,West,Schäfer Immobilien,Пауль Шефер (Paul Schäfer),+49-2131-112233,Пн–Пт 9:00–18:00
Gartenstraße 15 / Гартенштрассе 15,Ost,GWG Neustadt (gemeinnützig),Анна Кляйн (Anna Klein),+49-2131-440011,Пн–Пт 8:00–17:00
Am Stadtpark 6 / Ам Штадтпарк 6,Mitte,Stadtbau Neustadt GmbH,Роберт Вагнер (Robert Wagner),+49-2131-556677,Пн–Пт 9:00–16:00
Friedrichstraße 55 / Фридрихштрассе 55,Süd,Krämer Verwaltungen,Ханс Крэмер (Hans Krämer),+49-2131-998877,Пн–Пт 8:00–15:00
Kaiserstraße 33 / Кайзерштрассе 33,Süd,Immobilien Becker & Söhne,Вернер Беккер (Werner Becker),+49-2131-223344,Пн–Пт 9:00–17:00
Schillerstraße 8 / Шиллерштрассе 8,Nord,Neustädter Wohnbau AG,Карла Рихтер (Karla Richter),+49-2131-551122,Пн Ср Пт 9:00–12:00
